id_execucao,id_cenario,grupo,patologia,n_holders,distribuicao,parametro_dist,n_candidatos,tamanho_comite,turnout,n_aprovacoes,n_blocos,frac_proxy,tam_cartel,orcamento_suborno,frac_exchange,frac_colludida,n_rodadas,vantagem_incumbencia,reinveste_recompensa,metrica,camada,media,ic95,n_runs,seed_base
20260703-002116,1,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,rotatividade,stake,0.574603,0.086996,30,42
20260703-002116,1,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,rotatividade,eleito,0.574603,0.086996,30,42
20260703-002116,1,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,rotatividade,produzido,0.574603,0.086996,30,42
20260703-002116,1,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,persistencia,stake,0.712698,0.043498,30,42
20260703-002116,1,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,persistencia,eleito,0.712698,0.043498,30,42
20260703-002116,1,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,persistencia,produzido,0.712698,0.043498,30,42
20260703-002116,1,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,permanencia_media,stake,1.712698,0.043498,30,42
20260703-002116,1,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,permanencia_media,eleito,1.712698,0.043498,30,42
20260703-002116,1,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,permanencia_media,produzido,1.712698,0.043498,30,42
20260703-002116,1,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,diversidade,stake,0.643651,0.021749,30,42
20260703-002116,1,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,diversidade,eleito,0.643651,0.021749,30,42
20260703-002116,1,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,diversidade,produzido,0.643651,0.021749,30,42
20260703-002116,2,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,rotatividade,stake,0.588889,0.08033,30,42
20260703-002116,2,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,rotatividade,eleito,0.588889,0.08033,30,42
20260703-002116,2,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,rotatividade,produzido,0.588889,0.08033,30,42
20260703-002116,2,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,persistencia,stake,0.553968,0.047881,30,42
20260703-002116,2,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,persistencia,eleito,0.553968,0.047881,30,42
20260703-002116,2,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,persistencia,produzido,0.553968,0.047881,30,42
20260703-002116,2,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,permanencia_media,stake,3.430159,0.187335,30,42
20260703-002116,2,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,permanencia_media,eleito,3.430159,0.187335,30,42
20260703-002116,2,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,permanencia_media,produzido,3.430159,0.187335,30,42
20260703-002116,2,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,diversidade,stake,0.370794,0.028358,30,42
